laptop_ID,Price_euros
920,3158.9314
1107,3389.9375
60,584.673
248,2154.2266
168,799.0686
1240,1550.4974
1055,911.97394
647,1346.6216
259,1567.4186
583,1382.1464
1089,1453.687
590,1271.4879
118,1481.4087
970,1389.3507
307,1562.4935
910,833.903
405,1685.7404
71,3128.528
713,1909.86
392,1519.5586
1065,3678.5002
98,2850.3875
552,1253.22
623,1253.22
1178,2040.5468
437,718.4348
174,1342.8058
1046,3562.5547
734,2363.9817
576,1152.7238
428,881.44855
1064,1240.1063
1053,2289.0166
1051,1651.9124
399,1400.3243
612,1232.8901
367,2073.3342
25,2042.0934
826,718.4348
1176,2476.5327
1128,1257.0048
1035,1271.6812
502,1379.7521
795,2360.939
157,1167.5101
278,1408.6212
800,990.9376
1220,1537.0265
407,833.903
1028,1216.7389
694,1227.6544
1309,810.5762
198,2705.2195
93,2927.6406
1057,2014.7495
925,926.1177
236,748.37573
979,825.9207
738,2778.9956
1195,1731.0573
993,2347.953
518,1350.6725
1253,922.42346
1207,2285.8806
930,1456.5471
1125,1266.7332
1081,2812.9685
564,1753.1736
989,2838.2446
662,803.4713
88,1971.7103
336,3164.0627
900,959.06946
1162,1370.2151
169,1727.7834
994,1550.9795
1297,3213.1543
225,1912.3225
268,1513.0261
863,3177.3528
1233,669.6575
193,3467.6711
1068,1234.1237
762,1219.7264
551,726.2051
147,827.55634
761,1316.6571
1121,3565.1072
504,1483.3456
683,1579.0803
650,1250.3418
330,884.9382
696,1875.6307
498,1733.7015
960,1391.8693
980,1297.2498
67,1363.2432
914,1520.5625
976,2613.543
660,1293.2118
263,1960.5096
1249,1489.4915
1317,1152.3005
455,1909.86
645,911.97394
267,937.75366
131,2275.7322
577,1422.0392
542,1652.1093
197,1684.2372
859,1663.9669
11,1227.6544
1124,2228.6882
506,2187.7607
764,1348.359
579,955.09576
1131,2027.5267
659,2823.1016
383,822.10004
815,1193.0378
722,1368.4202
255,3275.5566
10,2180.3645
1070,1235.4861
148,1608.6215
433,2011.2009
1310,750.078
340,1920.3884
1294,1293.2092
105,2927.6406
490,985.7677
463,2777.933
89,1853.2795
903,1358.4724
580,2012.1553
1179,1974.484
530,815.3485
798,2154.2266
111,1461.0916
412,1319.3917
805,924.87714
243,2658.2585
1090,1746.5753
595,1573.134
1259,1456.5471
1122,1098.6996
95,2154.2266
408,2270.912
879,2302.176
104,848.35
897,833.903
1085,1193.0378
1167,1468.1556
565,1657.3667
899,869.58856
37,1257.8568
953,1847.2123
1145,1493.0718
1190,766.93835
723,1971.1294
686,1749.2665
1264,1425.4833
536,1734.6996
938,1461.9202
685,1827.8884
420,2198.5835
599,843.9038
329,1687.1188
1161,2227.7012
356,1346.6216
693,1673.4205
1132,1235.3077
49,1068.0807
1243,828.6241
924,1276.294
